"code","iso","country","BHV.ind.1995","BHV.ind.1996","BHV.ind.1997","BHV.ind.1998","BHV.ind.1999","BHV.ind.2000","BHV.ind.2001","BHV.ind.2002","BHV.ind.2003","BHV.ind.2004","BHV.ind.2005","BHV.ind.2006","BHV.ind.2007","BHV.ind.2008","BHV.ind.2009","BHV.ind.2010","BHV.ind.2011","BHV.ind.2012","BHV.ind.2013","BHV.ind.2014","BHV.ind.2015","BHV.ind.2016","BHV.ind.2017","BHV.ind.2018","BHV.ind.2019","BHV.ind.2020","BHV.ind.2021","BHV.ind.2022"
4,"AFG","Afghanistan",41.8988,41.8988,41.8988,41.8988,41.8988,41.8988,41.8988,41.8988,41.8988,41.8988,41.8988,41.8988,41.8988,41.8988,41.8988,41.8988,41.8988,41.8988,41.8988,41.8988,41.8988,41.8988,41.8988,41.8988,41.8988,41.8988,41.8988,41.8988
8,"ALB","Albania",34.8171,34.8171,34.8171,34.8171,34.8171,34.8171,34.8171,34.8171,34.8171,34.8171,34.8171,34.8171,34.8171,34.8171,34.8171,34.8171,34.8171,34.8171,34.8171,34.8171,34.8171,34.8171,34.8171,34.8171,34.8171,34.8171,34.8171,34.8171
12,"DZA","Algeria",59.6696,59.6696,59.6696,59.6696,59.6696,59.6696,59.6696,59.6696,59.6696,59.6696,59.6696,59.6696,59.6696,59.6696,59.6696,59.6696,59.6696,59.6696,59.6696,59.6696,59.6696,59.6696,59.6696,59.6696,59.6696,59.6696,59.6696,59.6696
20,"AND","Andorra",56.3142,56.3142,56.3142,56.3142,56.3142,56.3142,56.3142,56.3142,56.3142,56.3142,56.3142,56.3142,56.3142,56.3142,56.3142,56.3142,56.3142,56.3142,56.3142,56.3142,56.3142,56.3142,56.3142,56.3142,56.3142,56.3142,56.3142,56.3142
24,"AGO","Angola",61.4766,61.4766,61.4766,61.4766,61.4766,61.4766,61.4766,61.4766,61.4766,61.4766,61.4766,61.4766,61.4766,61.4766,61.4766,61.4766,61.4766,61.4766,61.4766,61.4766,61.4766,61.4766,61.4766,61.4766,61.4766,61.4766,61.4766,61.4766
660,"AIA","Anguilla",27.3893,27.3893,27.3893,27.3893,27.3893,27.3893,27.3893,27.3893,27.3893,27.3893,27.3893,27.3893,27.3893,27.3893,27.3893,27.3893,27.3893,27.3893,27.3893,27.3893,27.3893,27.3893,27.3893,27.3893,27.3893,27.3893,27.3893,27.3893
28,"ATG","Antigua and Barbuda",33.9933,33.9933,33.9933,33.9933,33.9933,33.9933,33.9933,33.9933,33.9933,33.9933,33.9933,33.9933,33.9933,33.9933,33.9933,33.9933,33.9933,33.9933,33.9933,33.9933,33.9933,33.9933,33.9933,33.9933,33.9933,33.9933,33.9933,33.9933
32,"ARG","Argentina",43.1925,43.1925,43.1925,43.1925,43.1925,43.1925,43.1925,43.1925,43.1925,43.1925,43.1925,43.1925,43.1925,43.1925,43.1925,43.1925,43.1925,43.1925,43.1925,43.1925,43.1925,43.1925,43.1925,43.1925,43.1925,43.1925,43.1925,43.1925
51,"ARM","Armenia",43.0332,43.0332,43.0332,43.0332,43.0332,43.0332,43.0332,43.0332,43.0332,43.0332,43.0332,43.0332,43.0332,43.0332,43.0332,43.0332,43.0332,43.0332,43.0332,43.0332,43.0332,43.0332,43.0332,43.0332,43.0332,43.0332,43.0332,43.0332
533,"ABW","Aruba",39.9109,39.9109,39.9109,39.9109,39.9109,39.9109,39.9109,39.9109,39.9109,39.9109,39.9109,39.9109,39.9109,39.9109,39.9109,39.9109,39.9109,39.9109,39.9109,39.9109,39.9109,39.9109,39.9109,39.9109,39.9109,39.9109,39.9109,39.9109
