"code","iso","country","FSS.ind.1995","FSS.ind.1996","FSS.ind.1997","FSS.ind.1998","FSS.ind.1999","FSS.ind.2000","FSS.ind.2001","FSS.ind.2002","FSS.ind.2003","FSS.ind.2004","FSS.ind.2005","FSS.ind.2006","FSS.ind.2007","FSS.ind.2008","FSS.ind.2009","FSS.ind.2010","FSS.ind.2011","FSS.ind.2012","FSS.ind.2013","FSS.ind.2014","FSS.ind.2015","FSS.ind.2016","FSS.ind.2017","FSS.ind.2018","FSS.ind.2019","FSS.ind.2020","FSS.ind.2021","FSS.ind.2022"
4,"AFG","Afghanistan",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
8,"ALB","Albania",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
12,"DZA","Algeria",91.7899949277478,87.6844837340005,87.5506027366441,88.2279481828305,89.9400100266647,91.4711337097347,89.9400100266647,90.0886115975648,88.5045783339073,94.513944270025,100,100,100,81.7946809736639,52.7102763558771,28.8706852754327,17.4187364358715,18.2013194688218,26.5145323530673,39.904445552671,29.4169717834323,28.0147733201456,25.7134929198346,31.6716083108973,31.6716083108973,31.6716083108973,31.6716083108973,31.6716083108973
20,"AND","Andorra",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
24,"AGO","Angola",27.865231494479,20.7229623809989,25.479423274018,30.7070258769188,32.9620283759565,35.8392006727792,40.4650155108634,45.6086008568202,50.1875522791836,51.3451753964636,59.9124602601407,63.837444733662,60.8953278804951,51.9607966835448,47.4904928707091,46.8232265574465,43.4542344040466,42.0488048624566,42.7597691961226,40.4822178409254,40.916516057705,39.0156635845586,43.949156979781,43.8692494307058,43.8692494307058,43.8692494307058,43.8692494307058,43.8692494307058
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",12.9561458557557,95.4359483069406,97.8125439133445,30.2946681556307,100,9.371526974839,8.4569285609974,33.0117024521623,40.9340599089835,40.3278585826357,38.7587905755101,40.898985592417,38.5838416988155,27.8552965615931,21.7276892176458,20.7011266447361,38.8227400893505,42.2152137083687,28.7981287598044,21.8191616406217,16.8949971213335,26.0599422327299,26.3651035385322,30.4498263099009,30.4498263099009,30.4498263099009,30.4498263099009,30.4498263099009
32,"ARG","Argentina",84.7868790322763,89.4998864640471,85.7538427150042,68.808935044276,38.3474018068234,24.0639476660474,23.0829943506098,20.7739932811234,30.3388922410036,30.9216884566257,59.3188566219403,38.3474018068234,43.0850968861416,29.0478538140404,27.6969191241055,14.3863565378396,10.7918939296242,9.64866248835642,10.8581592570291,15.1277316965137,13.4336623267922,9.92918170486794,5.18339406759982,5.57927100269848,5.57927100269848,5.57927100269848,5.57927100269848,5.57927100269848
51,"ARM","Armenia",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
