"code","iso","country","FTD.ind.1995","FTD.ind.1996","FTD.ind.1997","FTD.ind.1998","FTD.ind.1999","FTD.ind.2000","FTD.ind.2001","FTD.ind.2002","FTD.ind.2003","FTD.ind.2004","FTD.ind.2005","FTD.ind.2006","FTD.ind.2007","FTD.ind.2008","FTD.ind.2009","FTD.ind.2010","FTD.ind.2011","FTD.ind.2012","FTD.ind.2013","FTD.ind.2014","FTD.ind.2015","FTD.ind.2016","FTD.ind.2017","FTD.ind.2018","FTD.ind.2019","FTD.ind.2020","FTD.ind.2021","FTD.ind.2022"
4,"AFG","Afghanistan",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
8,"ALB","Albania",1.38694861805612,1.34535447988338,1.4636187897684,1.23329639718983,1.23234736936375,1.1723133450744,1.45228589138698,1.28171331219392,1.28058550434253,1.25175873082098,1.19947350004402,1.19791809486574,1.16585464260045,1.16665849603129,1.23100862205256,1.17659834978188,1.17229058760292,1.16827197452301,1.16824572736965,1.66985720663001,1.11790914365287,1.47688890923833,1.59337139832364,0.824381917529081,0.824381917529081,0.824381917529081,0.824381917529081,0.824381917529081
12,"DZA","Algeria",7.91712044075247,7.60324160236877,7.45582780522172,7.27860240483443,7.35501773813424,7.01791212858289,7.29933633574011,7.57810744961409,7.87805787419552,8.30339550595528,8.23668875217926,8.22028073491946,8.2690397695723,8.12708757132003,8.13152630924222,8.14655119596948,9.02499691480784,9.11120681173891,9.30322586416187,9.36105972029813,9.38871328970964,9.42629626946473,9.45862700541379,9.26449226943099,9.26449226943099,9.26449226943099,9.26449226943099,9.26449226943099
20,"AND","Andorra",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
24,"AGO","Angola",6.99061775659865,5.74285744635813,6.01986549086125,6.22308542796813,6.25217462405028,7.78811389283609,5.86553693468802,6.29826193617497,6.85001595213964,6.66983896682562,5.92728222181159,5.59980890603073,5.76963147544248,5.74282630384059,6.49658405257041,6.95370567008938,6.52646608762915,6.49074129159902,6.25397838691751,6.09535861232547,8.20472346667742,6.05139246256931,6.17694235657316,7.86880737373338,7.86880737373338,7.86880737373338,7.86880737373338,7.86880737373338
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
32,"ARG","Argentina",2.2103135548666,2.72281191950132,3.28479585315681,3.12184265637757,3.95589969089551,4.41713854618189,4.2914843578003,3.32262736188295,3.30547327970318,2.40362302948451,2.95780748250893,4.32483269389687,3.9622690007712,3.89449611067948,3.25061557217211,3.6722490814595,4.03970107520166,3.97184225732336,4.71621169744253,4.56797633303466,9.09770382256896,4.37020862278591,6.24830770528695,6.3464597774219,6.3464597774219,6.3464597774219,6.3464597774219,6.3464597774219
51,"ARM","Armenia",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
36,"AUS","Australia",5.48579414871595,5.85508460490099,5.954882458459,6.06632902857115,5.74981215107103,6.55832139858221,6.14417179154633,7.93802283593875,8.30351584859764,8.79642840137421,9.37351296617942,9.34436287391337,10.0695505365406,10.0124504055159,9.62525918443298,10.1344092221091,10.098052801492,11.1209409690444,11.2847448234174,10.9178108421805,11.0019730383062,11.0042574756038,11.2192602964349,11.1502237166602,11.1502237166602,11.1502237166602,11.1502237166602,11.1502237166602
40,"AUT","Austria",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
31,"AZE","Azerbaijan",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
