"code","iso","country","GIB.ind.1995","GIB.ind.1996","GIB.ind.1997","GIB.ind.1998","GIB.ind.1999","GIB.ind.2000","GIB.ind.2001","GIB.ind.2002","GIB.ind.2003","GIB.ind.2004","GIB.ind.2005","GIB.ind.2006","GIB.ind.2007","GIB.ind.2008","GIB.ind.2009","GIB.ind.2010","GIB.ind.2011","GIB.ind.2012","GIB.ind.2013","GIB.ind.2014","GIB.ind.2015","GIB.ind.2016","GIB.ind.2017","GIB.ind.2018","GIB.ind.2019","GIB.ind.2020","GIB.ind.2021","GIB.ind.2022"
4,"AFG","Afghanistan",41.4765498827273,41.4765498827273,41.4765498827273,41.4765498827273,41.4765498827273,41.4765498827273,41.4765498827273,41.4765498827273,41.4765498827273,41.4765498827273,41.4765498827273,41.4765498827273,41.4765498827273,41.4765498827273,41.4765498827273,41.4765498827273,41.4765498827273,39.1967685212936,43.6769358525551,48.3080695617329,56.2994008690235,65.8644070926885,79.0720233774985,81.0511536553235,77.5071214406157,77.5071214406157,77.5071214406157,77.5071214406157
8,"ALB","Albania",100,100,100,100,100,100,87.6791627572111,77.2114125620756,66.32356731452,56.3285489680902,52.0381324098537,59.8275669153415,68.5613099658804,79.2968112876003,84.1052016832639,86.7956975517209,86.1540245117992,81.3505077136866,69.8525972698742,54.8032721931502,46.8754280533654,44.056840078467,40.6427842525342,44.6004781810542,49.6146054850555,49.6146054850555,49.6146054850555,49.6146054850555
12,"DZA","Algeria",25.077704991759,25.077704991759,25.077704991759,25.077704991759,25.077704991759,35.4519350754922,49.778830679355,64.4403479023423,72.6635937657866,79.716210420768,75.857359298363,69.9648133894618,68.4183492976401,59.9723092663928,54.4308546056355,47.5369254950016,45.0941235537028,41.6855990298577,38.3945292404348,37.1909606683404,32.078712943265,28.6555557591621,27.5137908158925,24.656166239312,23.1021591224715,23.1021591224715,23.1021591224715,23.1021591224715
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",0,0,0,0,0,0,27.8888016730844,64.6028754824007,76.6099198938932,81.497688512256,86.6850997360844,100,100,100,100,100,100,100,95.987489526582,74.9507744647673,59.7708350380449,50.2321069053682,45.5290006130373,47.274018361445,45.1635318094162,45.1635318094162,45.1635318094162,45.1635318094162
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",38.901121591744,38.901121591744,38.901121591744,38.901121591744,38.901121591744,36.1966178296582,31.128348723783,22.9769293593517,17.9047010731547,19.5665461347698,20.3137051941386,28.2824501457046,37.9218002415876,44.8260176682326,40.0287384993286,34.9380400791746,27.6829444119008,17.0688276565515,6.36224327130775,0.285956059025139,0,7.11302331118102,22.4373778006975,40.8462671600624,48.0313090024087,48.0313090024087,48.0313090024087,48.0313090024087
32,"ARG","Argentina",63.2985929294858,63.2985929294858,63.2985929294858,63.2985929294858,63.2985929294858,52.0655027775735,41.5514309973733,26.8718671779252,19.4703750948493,16.3139339594461,14.4701284339155,17.267257706771,29.0125778178583,43.6967897377912,52.2281795719853,64.678034159093,75.8682945009977,75.3754871050596,71.7160764763541,62.4880649636856,56.0085210113335,46.6816080373248,42.2182850157829,35.9328102012737,29.1992166620181,29.1992166620181,29.1992166620181,29.1992166620181
51,"ARM","Armenia",43.1739143419586,43.1739143419586,43.1739143419586,43.1739143419586,43.1739143419586,68.813158179404,93.64512787465,78.7072207269575,87.0060574585441,93.0331343783183,88.9988599731461,96.3563254598957,94.6598956203608,89.5771992320422,84.1623386903473,73.3066065683292,58.3159970006039,47.8155027287879,41.6640947902361,37.5618726606018,35.6040836946654,32.0257469922768,36.2203592731953,35.2400233217086,40.0141840202174,40.0141840202174,40.0141840202174,40.0141840202174
533,"ABW","Aruba",11.7233115539495,11.7233115539495,11.7233115539495,11.7233115539495,11.7233115539495,0,0,0,0,0,0,0,0,0,24.7418138807975,27.4817269711395,30.6373695748425,65.7856210623916,100,100,100,100,100,100,100,100,100,100
36,"AUS","Australia",53.8073404524188,53.8073404524188,53.8073404524188,53.8073404524188,53.8073404524188,52.2304205322861,48.2100238637072,44.2275093928567,49.8841424152288,51.8305702444296,58.3618597775918,59.2417817042036,61.9322071642171,66.4436779821197,65.7706718085647,64.830922425636,51.3977083669423,40.4407006781815,49.6209748945083,52.6101680713309,59.5728943571872,63.7542318879258,63.9428824242762,67.6430510175615,71.4694562556014,71.4694562556014,71.4694562556014,71.4694562556014
40,"AUT","Austria",50.1792687174018,50.1792687174018,50.1792687174018,50.1792687174018,50.1792687174018,53.8212291781351,52.0091965003331,53.0841145756504,48.9393122047971,47.2210755092724,43.8177382498401,39.1274765990476,38.794972921315,39.9817470110271,39.6591824718534,35.7308860133047,34.7419462595504,37.8890753097246,35.3521004729878,35.8845415295365,35.3836920917075,36.1657873636425,41.1655365035145,51.1145983799913,54.1031856853009,54.1031856853009,54.1031856853009,54.1031856853009
31,"AZE","Azerbaijan",18.9818371283394,18.9818371283394,18.9818371283394,18.9818371283394,18.9818371283394,47.9405183544204,82.7168821389212,100,100,100,100,100,100,100,100,100,100,100,100,99.5825284345767,69.8774712124718,48.2042058289571,39.3393605566718,26.2755487468433,22.2419236841444,22.2419236841444,22.2419236841444,22.2419236841444
44,"BHS","Bahamas",51.1756830290742,51.1756830290742,51.1756830290742,51.1756830290742,51.1756830290742,55.5403845470826,58.5083643462382,55.538762751265,51.0431479689763,45.4375452821048,46.656771857702,50.2821028409816,62.7286872082562,41.4819174370598,43.2977688371153,26.2884102085813,28.7204245776993,29.4174245317076,4.94726684255237,0,2.26452075388765,21.1416004740695,37.2741436742487,36.0347391362039,51.6149026625634,51.6149026625634,51.6149026625634,51.6149026625634
48,"BHR","Bahrain",52.196620270106,52.196620270106,52.196620270106,52.196620270106,52.196620270106,46.608411492018,55.3182880821628,63.2937056146991,69.701872518098,74.2430810354901,75.9898268510124,77.7396829746493,72.2487209864971,61.5621540021825,50.7361930467632,40.7645006712965,38.3663338881707,36.1382131218374,32.7468146495145,33.5992668784964,33.8450936447096,41.9313728118676,44.4790944565183,49.9889884408648,53.3902887977205,53.3902887977205,53.3902887977205,53.3902887977205
50,"BGD","Bangladesh",54.825839243919,54.825839243919,54.825839243919,54.825839243919,54.825839243919,55.1739095182699,54.5333758587642,53.9984342637003,54.9778781943795,55.7091559991284,55.0836715087868,54.9963416300959,57.0562772884262,59.6846543310289,60.5187297595193,61.317322891653,61.5411813044757,61.5184738626895,62.5166410335898,63.2319802823037,63.357001461725,64.512352898936,67.1467279533058,68.8175033817889,69.7125408218511,69.7125408218511,69.7125408218511,69.7125408218511
52,"BRB","Barbados",51.5240828338598,51.5240828338598,51.5240828338598,51.5240828338598,51.5240828338598,47.7132339833258,32.1474796237858,22.2662449345718,4.91462706304898,8.96718415886005,13.0119165671086,23.8818412786948,35.3482601473168,30.9910053135003,22.3469197727318,21.1787897669677,16.4534304735341,15.6722953576923,15.0287592905354,21.8119310333739,29.9005789441033,41.7726042595833,58.9905694908794,63.5547164752929,60.919023502978,60.919023502978,60.919023502978,60.919023502978
112,"BLR","Belarus",62.2426692975003,62.2426692975003,62.2426692975003,62.2426692975003,62.2426692975003,75.6849025682108,87.4291717758137,95.1076065638144,100,100,100,98.5330277056268,97.9040745578781,98.562756520285,96.810916889652,96.2620235630607,87.1974402005781,77.1043115170438,66.0552938854164,55.3381462029916,45.8187051099336,36.1021248919727,31.8061640544092,29.6554580364651,29.3061899217685,29.3061899217685,29.3061899217685,29.3061899217685
56,"BEL","Belgium",40.106705554143,40.106705554143,40.106705554143,40.106705554143,40.106705554143,45.1272505328328,48.8496046400028,54.4665530613928,57.1441655276395,59.4475629860844,62.2370825639567,62.188002162024,65.2735076121818,63.5505693387441,61.9816515791288,56.6763158304633,55.2503953974293,57.8435309577042,54.1773739424364,53.0879915098706,51.325321826335,51.3095724678959,53.9251592028305,52.7516075626682,52.2807358008028,52.2807358008028,52.2807358008028,52.2807358008028
84,"BLZ","Belize",70.2766508105088,70.2766508105088,70.2766508105088,70.2766508105088,70.2766508105088,66.5798844960692,54.2266730230752,50.1587908607926,47.9421859315469,56.2646430162947,59.3900717256343,69.8483730814046,65.5651860040336,64.1765408354339,56.6516178881953,50.4126700045222,35.1772165216525,30.9963293023832,19.191257531526,26.9853278164711,23.0888807887331,24.0352598441153,22.5601666693352,28.5505586971463,23.5137214628531,23.5137214628531,23.5137214628531,23.5137214628531
204,"BEN","Benin",35.9306336136623,35.9306336136623,35.9306336136623,35.9306336136623,35.9306336136623,37.5305823638829,45.3663402421711,46.6722550470819,49.2641765742899,48.6019386633439,48.1496816452305,41.9437228726537,35.2155099797255,33.0153503404763,28.8668456144286,21.033545199747,23.3443551694825,24.6843676592625,28.6013894815227,36.6741540844238,38.5706784145475,35.9945475482353,32.7259002629357,35.8203133734391,40.0123626741789,40.0123626741789,40.0123626741789,40.0123626741789
60,"BMU","Bermuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
