"code","iso","country","LCB.ind.1995","LCB.ind.1996","LCB.ind.1997","LCB.ind.1998","LCB.ind.1999","LCB.ind.2000","LCB.ind.2001","LCB.ind.2002","LCB.ind.2003","LCB.ind.2004","LCB.ind.2005","LCB.ind.2006","LCB.ind.2007","LCB.ind.2008","LCB.ind.2009","LCB.ind.2010","LCB.ind.2011","LCB.ind.2012","LCB.ind.2013","LCB.ind.2014","LCB.ind.2015","LCB.ind.2016","LCB.ind.2017","LCB.ind.2018","LCB.ind.2019","LCB.ind.2020","LCB.ind.2021","LCB.ind.2022"
4,"AFG","Afghanistan",80.2758306556511,80.2758306556511,80.2758306556511,80.2758306556511,80.2758306556511,80.2758306556511,80.2758306556511,80.2758306556511,80.2758306556511,80.2758306556511,80.2758306556511,80.2758306556511,80.2758306556511,80.2758306556511,80.2758306556511,80.2758306556511,91.8958147204713,100,100,100,100,100,100,100,100,100,100,100
8,"ALB","Albania",61.9889850772278,61.9889850772278,61.9889850772278,61.9889850772278,61.9889850772278,61.9889850772278,61.9889850772278,61.9889850772278,61.9889850772278,61.9889850772278,61.9889850772278,61.9889850772278,61.9889850772278,61.9889850772278,61.9889850772278,61.9889850772278,49.1103641170251,35.3784287604867,47.5991558321753,46.662284041833,96.2868123394486,100,87.2788343385878,87.2788343385878,87.2788343385878,87.2788343385878,87.2788343385878,87.2788343385878
12,"DZA","Algeria",42.6541627816447,42.6541627816447,42.6541627816447,42.6541627816447,42.6541627816447,42.6541627816447,42.6541627816447,42.6541627816447,42.6541627816447,42.6541627816447,42.6541627816447,42.6541627816447,42.6541627816447,42.6541627816447,42.6541627816447,42.6541627816447,39.4883944929387,35.5220737273823,34.713483813301,28.2426510732429,36.7984608583778,37.8913301693368,13.265298788505,13.265298788505,13.265298788505,13.265298788505,13.265298788505,13.265298788505
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",27.6733357718981,27.6733357718981,27.6733357718981,27.6733357718981,27.6733357718981,27.6733357718981,27.6733357718981,27.6733357718981,27.6733357718981,27.6733357718981,27.6733357718981,27.6733357718981,27.6733357718981,27.6733357718981,27.6733357718981,27.6733357718981,14.6556910312188,18.5379644060594,27.4907181369934,32.0208892548548,38.2773474945736,45.6967860274019,37.8918494281813,37.8918494281813,37.8918494281813,37.8918494281813,37.8918494281813,37.8918494281813
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",38.8531599709311,38.8531599709311,38.8531599709311,38.8531599709311,38.8531599709311,38.8531599709311,38.8531599709311,38.8531599709311,38.8531599709311,38.8531599709311,38.8531599709311,38.8531599709311,38.8531599709311,38.8531599709311,38.8531599709311,38.8531599709311,50.4119003041633,64.6768684340333,81.0166893038621,89.5048057638568,100,100,88.638718615119,88.638718615119,88.638718615119,88.638718615119,88.638718615119,88.638718615119
32,"ARG","Argentina",31.2534371724289,31.2534371724289,31.2534371724289,31.2534371724289,31.2534371724289,31.2534371724289,31.2534371724289,31.2534371724289,31.2534371724289,31.2534371724289,31.2534371724289,31.2534371724289,31.2534371724289,31.2534371724289,31.2534371724289,31.2534371724289,36.5172743416945,54.5109395097474,61.3919817307899,66.0747967005179,78.3029042244084,85.9491260780203,86.7042863185085,86.7042863185085,86.7042863185085,86.7042863185085,86.7042863185085,86.7042863185085
51,"ARM","Armenia",71.7711783659012,71.7711783659012,71.7711783659012,71.7711783659012,71.7711783659012,71.7711783659012,71.7711783659012,71.7711783659012,71.7711783659012,71.7711783659012,71.7711783659012,71.7711783659012,71.7711783659012,71.7711783659012,71.7711783659012,71.7711783659012,69.3730385145591,58.9658891461241,58.3728365887653,81.6497945481762,88.7857585236379,100,100,100,100,100,100,100
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
36,"AUS","Australia",86.0781065985009,86.0781065985009,86.0781065985009,86.0781065985009,86.0781065985009,86.0781065985009,86.0781065985009,86.0781065985009,86.0781065985009,86.0781065985009,86.0781065985009,86.0781065985009,86.0781065985009,86.0781065985009,86.0781065985009,86.0781065985009,89.5142729655621,98.3339739604868,82.8590517524156,81.0854233608412,62.4575186109811,48.6139717249437,35.3673254984869,35.3673254984869,35.3673254984869,35.3673254984869,35.3673254984869,35.3673254984869
40,"AUT","Austria",34.5528002912906,34.5528002912906,34.5528002912906,34.5528002912906,34.5528002912906,34.5528002912906,34.5528002912906,34.5528002912906,34.5528002912906,34.5528002912906,34.5528002912906,34.5528002912906,34.5528002912906,34.5528002912906,34.5528002912906,34.5528002912906,49.4870836536125,66.2271944727452,82.4880919970056,92.0002596171175,96.6729521648626,95.8153270179427,78.2155430748848,78.2155430748848,78.2155430748848,78.2155430748848,78.2155430748848,78.2155430748848
31,"AZE","Azerbaijan",78.2129319875355,78.2129319875355,78.2129319875355,78.2129319875355,78.2129319875355,78.2129319875355,78.2129319875355,78.2129319875355,78.2129319875355,78.2129319875355,78.2129319875355,78.2129319875355,78.2129319875355,78.2129319875355,78.2129319875355,78.2129319875355,96.4625966291434,77.5453737238521,76.4640349295917,70.1998483761912,100,100,100,100,100,100,100,100
44,"BHS","Bahamas",49.8224018727237,49.8224018727237,49.8224018727237,49.8224018727237,49.8224018727237,49.8224018727237,49.8224018727237,49.8224018727237,49.8224018727237,49.8224018727237,49.8224018727237,49.8224018727237,49.8224018727237,49.8224018727237,49.8224018727237,49.8224018727237,56.140760979571,60.0969955319667,59.0912884790907,55.7236093446113,45.3969356989286,20.8155145997468,2.79360124469896,2.79360124469896,2.79360124469896,2.79360124469896,2.79360124469896,2.79360124469896
48,"BHR","Bahrain",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
50,"BGD","Bangladesh",48.6227427418289,48.6227427418289,48.6227427418289,48.6227427418289,48.6227427418289,48.6227427418289,48.6227427418289,48.6227427418289,48.6227427418289,48.6227427418289,48.6227427418289,48.6227427418289,48.6227427418289,48.6227427418289,48.6227427418289,48.6227427418289,46.7951716794069,42.8694415660844,47.8238447202998,31.5494930212066,24.4906265382382,0,0,0,0,0,0,0
52,"BRB","Barbados",42.3015037572508,42.3015037572508,42.3015037572508,42.3015037572508,42.3015037572508,42.3015037572508,42.3015037572508,42.3015037572508,42.3015037572508,42.3015037572508,42.3015037572508,42.3015037572508,42.3015037572508,42.3015037572508,42.3015037572508,42.3015037572508,28.4195155739054,0,11.9395379281691,37.5500285767147,35.6132329489341,74.0613515338883,66.8343809863783,66.8343809863783,66.8343809863783,66.8343809863783,66.8343809863783,66.8343809863783
112,"BLR","Belarus",49.8550574223557,49.8550574223557,49.8550574223557,49.8550574223557,49.8550574223557,49.8550574223557,49.8550574223557,49.8550574223557,49.8550574223557,49.8550574223557,49.8550574223557,49.8550574223557,49.8550574223557,49.8550574223557,49.8550574223557,49.8550574223557,55.2152134222734,59.6509102867788,67.3031708711054,67.3622648092998,68.0429747486419,47.395067982443,37.5779114336497,37.5779114336497,37.5779114336497,37.5779114336497,37.5779114336497,37.5779114336497
56,"BEL","Belgium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1352856981781,34.3566748622322,63.4458743150883,69.7135847895982,88.0218232788646,85.660698151602,85.920516307699,85.920516307699,85.920516307699,85.920516307699,85.920516307699,85.920516307699
84,"BLZ","Belize",57.1158134764569,57.1158134764569,57.1158134764569,57.1158134764569,57.1158134764569,57.1158134764569,57.1158134764569,57.1158134764569,57.1158134764569,57.1158134764569,57.1158134764569,57.1158134764569,57.1158134764569,57.1158134764569,57.1158134764569,57.1158134764569,37.6857680018662,23.9330187405884,16.8722086428345,26.8033929813938,31.6224030061649,42.4013553524675,41.2352178052547,41.2352178052547,41.2352178052547,41.2352178052547,41.2352178052547,41.2352178052547
204,"BEN","Benin",77.8647634170102,77.8647634170102,77.8647634170102,77.8647634170102,77.8647634170102,77.8647634170102,77.8647634170102,77.8647634170102,77.8647634170102,77.8647634170102,77.8647634170102,77.8647634170102,77.8647634170102,77.8647634170102,77.8647634170102,77.8647634170102,87.6366086330569,59.883402317765,33.6362450360151,44.7228976406216,35.3663045373026,38.6074250272391,5.85880784567964,5.85880784567964,5.85880784567964,5.85880784567964,5.85880784567964,5.85880784567964
60,"BMU","Bermuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
64,"BTN","Bhutan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.08082256844399,34.6676090144093,52.0653779270451,42.6430022814194,47.482003231059,42.025686446579,45.7097642219796,45.7097642219796,45.7097642219796,45.7097642219796,45.7097642219796,45.7097642219796
68,"BOL","Bolivia",34.4087708426804,34.4087708426804,34.4087708426804,34.4087708426804,34.4087708426804,34.4087708426804,34.4087708426804,34.4087708426804,34.4087708426804,34.4087708426804,34.4087708426804,34.4087708426804,34.4087708426804,34.4087708426804,34.4087708426804,34.4087708426804,37.8885433148665,42.0790426639775,56.7997288170577,60.5301653328067,68.4863586483722,61.3588251009642,60.0427367355528,60.0427367355528,60.0427367355528,60.0427367355528,60.0427367355528,60.0427367355528
70,"BIH","Bosnia and Herzegovina",56.8140457407542,56.8140457407542,56.8140457407542,56.8140457407542,56.8140457407542,56.8140457407542,56.8140457407542,56.8140457407542,56.8140457407542,56.8140457407542,56.8140457407542,56.8140457407542,56.8140457407542,56.8140457407542,56.8140457407542,56.8140457407542,53.9449651798171,41.0243203327397,53.4879779030544,25.6718775384445,67.0467715285802,75.5429570863482,61.3626061001965,61.3626061001965,61.3626061001965,61.3626061001965,61.3626061001965,61.3626061001965
72,"BWA","Botswana",76.9790534795252,76.9790534795252,76.9790534795252,76.9790534795252,76.9790534795252,76.9790534795252,76.9790534795252,76.9790534795252,76.9790534795252,76.9790534795252,76.9790534795252,76.9790534795252,76.9790534795252,76.9790534795252,76.9790534795252,76.9790534795252,69.4865421462585,72.3402216841542,57.838804598426,45.321032123717,79.7134442364912,100,91.8755358108928,91.8755358108928,91.8755358108928,91.8755358108928,91.8755358108928,91.8755358108928
76,"BRA","Brazil",76.0245761346921,76.0245761346921,76.0245761346921,76.0245761346921,76.0245761346921,76.0245761346921,76.0245761346921,76.0245761346921,76.0245761346921,76.0245761346921,76.0245761346921,76.0245761346921,76.0245761346921,76.0245761346921,76.0245761346921,76.0245761346921,82.8984491535161,77.4532972948841,77.4927225126611,67.5111214603635,61.1303365283946,43.5028307687244,33.1370462509634,33.1370462509634,33.1370462509634,33.1370462509634,33.1370462509634,33.1370462509634
92,"VGB","British Virgin Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
96,"BRN","Brunei Darussalam",55.314267674306,55.314267674306,55.314267674306,55.314267674306,55.314267674306,55.314267674306,55.314267674306,55.314267674306,55.314267674306,55.314267674306,55.314267674306,55.314267674306,55.314267674306,55.314267674306,55.314267674306,55.314267674306,44.6923628514193,44.2006549718875,60.5131901218596,54.9179636689603,52.7163344876927,48.0615498690185,61.2121760530901,61.2121760530901,61.2121760530901,61.2121760530901,61.2121760530901,61.2121760530901
100,"BGR","Bulgaria",75.1113124740922,75.1113124740922,75.1113124740922,75.1113124740922,75.1113124740922,75.1113124740922,75.1113124740922,75.1113124740922,75.1113124740922,75.1113124740922,75.1113124740922,75.1113124740922,75.1113124740922,75.1113124740922,75.1113124740922,75.1113124740922,81.0621128479043,74.5082804081588,85.8753238982979,75.2690838787226,66.5449327880488,61.7868248805827,43.510156711928,43.510156711928,43.510156711928,43.510156711928,43.510156711928,43.510156711928
854,"BFA","Burkina Faso",18.9378935345516,18.9378935345516,18.9378935345516,18.9378935345516,18.9378935345516,18.9378935345516,18.9378935345516,18.9378935345516,18.9378935345516,18.9378935345516,18.9378935345516,18.9378935345516,18.9378935345516,18.9378935345516,18.9378935345516,18.9378935345516,21.0886313225514,38.7303789668191,94.2221544393325,99.5983696799801,100,100,100,100,100,100,100,100
108,"BDI","Burundi",44.8436080883523,44.8436080883523,44.8436080883523,44.8436080883523,44.8436080883523,44.8436080883523,44.8436080883523,44.8436080883523,44.8436080883523,44.8436080883523,44.8436080883523,44.8436080883523,44.8436080883523,44.8436080883523,44.8436080883523,44.8436080883523,49.3078191289684,54.1751215268384,41.8587778068666,40.9841333529996,36.9254844683159,54.0131548500728,39.2209727654358,39.2209727654358,39.2209727654358,39.2209727654358,39.2209727654358,39.2209727654358
132,"CPV","Cabo Verde",59.9495219032477,59.9495219032477,59.9495219032477,59.9495219032477,59.9495219032477,59.9495219032477,59.9495219032477,59.9495219032477,59.9495219032477,59.9495219032477,59.9495219032477,59.9495219032477,59.9495219032477,59.9495219032477,59.9495219032477,59.9495219032477,14.2898827801668,0,0,0,0,0,0,0,0,0,0,0
116,"KHM","Cambodia",10.706658573899,10.706658573899,10.706658573899,10.706658573899,10.706658573899,10.706658573899,10.706658573899,10.706658573899,10.706658573899,10.706658573899,10.706658573899,10.706658573899,10.706658573899,10.706658573899,10.706658573899,10.706658573899,16.1875260073064,12.8451016107325,14.0644051113538,15.8411437845575,27.9763197194776,34.8404465254542,49.7701126474057,49.7701126474057,49.7701126474057,49.7701126474057,49.7701126474057,49.7701126474057
120,"CMR","Cameroon",41.6413458954933,41.6413458954933,41.6413458954933,41.6413458954933,41.6413458954933,41.6413458954933,41.6413458954933,41.6413458954933,41.6413458954933,41.6413458954933,41.6413458954933,41.6413458954933,41.6413458954933,41.6413458954933,41.6413458954933,41.6413458954933,42.6049499951468,38.7040559861295,30.2793829003905,14.6891742816386,22.848293067349,17.6682745898135,4.28504749228014,4.28504749228014,4.28504749228014,4.28504749228014,4.28504749228014,4.28504749228014
124,"CAN","Canada",61.3576242696462,61.3576242696462,61.3576242696462,61.3576242696462,61.3576242696462,61.3576242696462,61.3576242696462,61.3576242696462,61.3576242696462,61.3576242696462,61.3576242696462,61.3576242696462,61.3576242696462,61.3576242696462,61.3576242696462,61.3576242696462,69.0547272963856,65.2432104145787,66.5762226817894,62.9041290765293,55.826825140882,55.017363330266,51.0158515131034,51.0158515131034,51.0158515131034,51.0158515131034,51.0158515131034,51.0158515131034
136,"CYM","Cayman Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
140,"CAF","Central African Republic",37.6662349405558,37.6662349405558,37.6662349405558,37.6662349405558,37.6662349405558,37.6662349405558,37.6662349405558,37.6662349405558,37.6662349405558,37.6662349405558,37.6662349405558,37.6662349405558,37.6662349405558,37.6662349405558,37.6662349405558,37.6662349405558,30.1163724250479,18.572814471428,30.9708986016165,43.1427682672384,59.7199178716079,52.4687861775753,48.9112848695649,48.9112848695649,48.9112848695649,48.9112848695649,48.9112848695649,48.9112848695649
148,"TCD","Chad",65.7900926098071,65.7900926098071,65.7900926098071,65.7900926098071,65.7900926098071,65.7900926098071,65.7900926098071,65.7900926098071,65.7900926098071,65.7900926098071,65.7900926098071,65.7900926098071,65.7900926098071,65.7900926098071,65.7900926098071,65.7900926098071,66.5334071054101,40.7527627372285,45.6865986599585,36.2175688069086,47.2257388909947,27.0982971311281,20.3241920341897,20.3241920341897,20.3241920341897,20.3241920341897,20.3241920341897,20.3241920341897
152,"CHL","Chile",56.6728216065221,56.6728216065221,56.6728216065221,56.6728216065221,56.6728216065221,56.6728216065221,56.6728216065221,56.6728216065221,56.6728216065221,56.6728216065221,56.6728216065221,56.6728216065221,56.6728216065221,56.6728216065221,56.6728216065221,56.6728216065221,61.1176295579257,54.6106779378977,56.4706436842941,55.2680156391105,52.9293585990571,51.8587125797016,32.272811373491,32.272811373491,32.272811373491,32.272811373491,32.272811373491,32.272811373491
156,"CHN","China",20.3546484332927,20.3546484332927,20.3546484332927,20.3546484332927,20.3546484332927,20.3546484332927,20.3546484332927,20.3546484332927,20.3546484332927,20.3546484332927,20.3546484332927,20.3546484332927,20.3546484332927,20.3546484332927,20.3546484332927,20.3546484332927,28.3749650320536,37.398061186783,50.9380822749053,51.1291676087935,59.2220010449868,54.2858360959208,48.9102341767019,48.9102341767019,48.9102341767019,48.9102341767019,48.9102341767019,48.9102341767019
170,"COL","Colombia",55.4556082478522,55.4556082478522,55.4556082478522,55.4556082478522,55.4556082478522,55.4556082478522,55.4556082478522,55.4556082478522,55.4556082478522,55.4556082478522,55.4556082478522,55.4556082478522,55.4556082478522,55.4556082478522,55.4556082478522,55.4556082478522,55.4709500328688,55.6388854193037,71.3160176168704,66.4344868875705,73.0099341451401,67.7864784919082,50.181641066657,50.181641066657,50.181641066657,50.181641066657,50.181641066657,50.181641066657
174,"COM","Comoros",31.2243231487572,31.2243231487572,31.2243231487572,31.2243231487572,31.2243231487572,31.2243231487572,31.2243231487572,31.2243231487572,31.2243231487572,31.2243231487572,31.2243231487572,31.2243231487572,31.2243231487572,31.2243231487572,31.2243231487572,31.2243231487572,16.9348588758999,6.57217687997813,0,0,0,0,0,0,0,0,0,0
184,"COK","Cook Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
188,"CRI","Costa Rica",49.3014657801402,49.3014657801402,49.3014657801402,49.3014657801402,49.3014657801402,49.3014657801402,49.3014657801402,49.3014657801402,49.3014657801402,49.3014657801402,49.3014657801402,49.3014657801402,49.3014657801402,49.3014657801402,49.3014657801402,49.3014657801402,50.8389880419555,52.7337624760825,67.1399789337685,73.029315611451,90.4404140687059,87.1417582759813,76.9183245293346,76.9183245293346,76.9183245293346,76.9183245293346,76.9183245293346,76.9183245293346
384,"CIV","Cote d'Ivoire",61.3458848967387,61.3458848967387,61.3458848967387,61.3458848967387,61.3458848967387,61.3458848967387,61.3458848967387,61.3458848967387,61.3458848967387,61.3458848967387,61.3458848967387,61.3458848967387,61.3458848967387,61.3458848967387,61.3458848967387,61.3458848967387,52.6995715571591,45.4628540251207,34.8646775575205,27.2550673553862,33.6966156266721,29.2116097622282,20.1499742540454,20.1499742540454,20.1499742540454,20.1499742540454,20.1499742540454,20.1499742540454
191,"HRV","Croatia",57.3654523524376,57.3654523524376,57.3654523524376,57.3654523524376,57.3654523524376,57.3654523524376,57.3654523524376,57.3654523524376,57.3654523524376,57.3654523524376,57.3654523524376,57.3654523524376,57.3654523524376,57.3654523524376,57.3654523524376,57.3654523524376,55.2032032023873,52.4864204989901,66.0055086131205,48.9605890631166,56.0144289653334,54.6085352429985,46.0871394074305,46.0871394074305,46.0871394074305,46.0871394074305,46.0871394074305,46.0871394074305
192,"CUB","Cuba",78.5840402442617,78.5840402442617,78.5840402442617,78.5840402442617,78.5840402442617,78.5840402442617,78.5840402442617,78.5840402442617,78.5840402442617,78.5840402442617,78.5840402442617,78.5840402442617,78.5840402442617,78.5840402442617,78.5840402442617,78.5840402442617,64.5658272027024,63.9985802970095,85.807561797051,81.5518504856911,82.2296570751809,39.5347099973627,17.1473502199486,17.1473502199486,17.1473502199486,17.1473502199486,17.1473502199486,17.1473502199486
531,"CUW","Curacao",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
196,"CYP","Cyprus",19.1889168514179,19.1889168514179,19.1889168514179,19.1889168514179,19.1889168514179,19.1889168514179,19.1889168514179,19.1889168514179,19.1889168514179,19.1889168514179,19.1889168514179,19.1889168514179,19.1889168514179,19.1889168514179,19.1889168514179,19.1889168514179,16.5740952546642,37.0637767795354,58.8249033070037,51.6293774526397,80.6315507805043,67.6368639608691,18.1263883610773,18.1263883610773,18.1263883610773,18.1263883610773,18.1263883610773,18.1263883610773
203,"CZE","Czech Republic",13.8171150580286,13.8171150580286,13.8171150580286,13.8171150580286,13.8171150580286,13.8171150580286,13.8171150580286,13.8171150580286,13.8171150580286,13.8171150580286,13.8171150580286,13.8171150580286,13.8171150580286,13.8171150580286,13.8171150580286,13.8171150580286,25.5514742712903,38.1079407101169,75.6543401542465,77.7507613186256,78.0272047696267,76.975399992173,58.4933835975056,58.4933835975056,58.4933835975056,58.4933835975056,58.4933835975056,58.4933835975056
180,"COD","Dem. Rep. Congo",45.9578370487192,45.9578370487192,45.9578370487192,45.9578370487192,45.9578370487192,45.9578370487192,45.9578370487192,45.9578370487192,45.9578370487192,45.9578370487192,45.9578370487192,45.9578370487192,45.9578370487192,45.9578370487192,45.9578370487192,45.9578370487192,48.6447105818391,42.0354254582871,42.9347496391055,33.020502931612,30.1889749306512,23.6623764316995,20.6136840578182,20.6136840578182,20.6136840578182,20.6136840578182,20.6136840578182,20.6136840578182
208,"DNK","Denmark",25.5320156935786,25.5320156935786,25.5320156935786,25.5320156935786,25.5320156935786,25.5320156935786,25.5320156935786,25.5320156935786,25.5320156935786,25.5320156935786,25.5320156935786,25.5320156935786,25.5320156935786,25.5320156935786,25.5320156935786,25.5320156935786,28.2230980605576,50.2114986079688,82.4013915155163,88.5250614284924,85.089929348025,77.0235924564494,71.9910856594206,71.9910856594206,71.9910856594206,71.9910856594206,71.9910856594206,71.9910856594206
262,"DJI","Djibouti",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
