"code","iso","country","SDA.ind.1995","SDA.ind.1996","SDA.ind.1997","SDA.ind.1998","SDA.ind.1999","SDA.ind.2000","SDA.ind.2001","SDA.ind.2002","SDA.ind.2003","SDA.ind.2004","SDA.ind.2005","SDA.ind.2006","SDA.ind.2007","SDA.ind.2008","SDA.ind.2009","SDA.ind.2010","SDA.ind.2011","SDA.ind.2012","SDA.ind.2013","SDA.ind.2014","SDA.ind.2015","SDA.ind.2016","SDA.ind.2017","SDA.ind.2018","SDA.ind.2019","SDA.ind.2020","SDA.ind.2021","SDA.ind.2022"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"ALB","Albania",100,100,100,100,100,100,61.0032893272784,34.0436969504803,16.6920446160651,8.08327301827296,8.27499895101452,21.2082330724606,59.8407428863097,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
12,"DZA","Algeria",73.0215771836183,73.0215771836183,73.0215771836183,73.0215771836183,73.0215771836183,71.8874050564141,71.9951362605574,59.4958056779697,50.7171943855425,45.7634566284325,44.0229546369688,43.3865013210433,44.3235700551442,65.1672069188586,78.6746582790147,93.9504922139424,100,100,100,100,100,100,100,100,95.9048387193438,95.9048387193438,95.9048387193438,95.9048387193438
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",67.5017843744365,67.5017843744365,67.5017843744365,67.5017843744365,67.5017843744365,57.1240235000432,44.8982743093697,40.7624331200558,29.9890445626175,26.9299233971391,31.9465598727358,27.276223824834,23.9589504323854,23.2213571871079,8.93723123791713,0,0,0,0,0,0,0,5.82703490307561,26.2905895950353,39.0405411276663,39.0405411276663,39.0405411276663,39.0405411276663
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",65.5839469783652,65.5839469783652,65.5839469783652,65.5839469783652,65.5839469783652,72.2722599262012,77.9898475203684,79.8270541235083,74.8775596068327,70.3382375939737,67.7458352193795,65.4606685563757,58.281388866639,48.7984100982671,37.8319139856115,27.1006058432378,42.0564238065733,46.7429742499017,50.17570610439,55.7939875711431,65.5552436383579,77.0423278787796,100,100,100,100,100,100
32,"ARG","Argentina",69.7002567885537,69.7002567885537,69.7002567885537,69.7002567885537,69.7002567885537,76.2290049026676,84.2045303111795,84.4297137921851,83.4808282117301,76.4206288689869,73.685720937058,71.5768083690537,62.7595184787083,51.0343565672428,47.0472573412683,41.5329884062986,41.2140512720703,46.9833395941442,58.1710073021429,64.7264762654472,69.5554232418243,82.2486843254403,100,100,100,100,100,100
51,"ARM","Armenia",96.8700038665273,96.8700038665273,96.8700038665273,96.8700038665273,96.8700038665273,100,100,100,76.3166947377476,56.2405693996498,34.3944661113993,20.9153532661756,21.4533925174854,25.7329585149882,35.3101406934193,48.698874423522,63.1609439408409,60.0570267856247,52.8256238770494,51.9394734091163,35.9769832527989,24.4739005797701,22.3231100325353,23.428372650932,27.2678217512271,27.2678217512271,27.2678217512271,27.2678217512271
533,"ABW","Aruba",29.0213272558761,29.0213272558761,29.0213272558761,29.0213272558761,29.0213272558761,45.5188381647212,72.120788530201,72.0550285321183,71.9905045479781,71.9528923325013,66.4903418674692,69.8877017415093,74.7655189548895,75.9927753878199,85.4288200012875,100,100,100,100,100,100,100,100,100,100,100,100,100
36,"AUS","Australia",100,100,100,100,100,100,100,100,89.8195847558565,74.3376938748271,67.562148011368,63.2195265299099,68.9217099267148,72.1576625395087,73.1640909625418,72.9524124613018,76.313392197837,79.7488340394428,84.4414828548506,84.3553352319028,92.0352658831845,100,100,100,100,100,100,100
40,"AUT","Austria",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
31,"AZE","Azerbaijan",74.2468341299565,74.2468341299565,74.2468341299565,74.2468341299565,74.2468341299565,71.1136079439965,92.5722369519047,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,61.1935055667569,23.0571862321456,8.36769003654922,8.36769003654922,8.36769003654922,8.36769003654922
44,"BHS","Bahamas",100,100,100,100,100,100,100,100,100,92.7524095852813,88.5620038236529,85.0722567973329,96.7527494872615,100,82.006385386435,46.8798098033613,52.9488599744183,49.1243474031712,48.1718763024292,45.7447587435878,50.4974670512792,58.2724194617507,79.8266954114877,100,100,100,100,100
48,"BHR","Bahrain",7.63678354325282,7.63678354325282,7.63678354325282,7.63678354325282,7.63678354325282,23.5857891419382,42.8300509504435,56.2002354774556,54.6643518174382,54.5296430615017,42.3353918995867,18.8081398283355,5.50635181324978,3.70496167766774,12.5693900952093,24.4654605657735,37.4678253932537,52.5908675592579,68.0679539341994,90.4363077349388,97.8097716721562,75.3171075121766,63.6627498387939,57.5119780360252,57.398929339891,57.398929339891,57.398929339891,57.398929339891
50,"BGD","Bangladesh",56.4402003082236,56.4402003082236,56.4402003082236,56.4402003082236,56.4402003082236,60.5650501629652,62.7551074077939,64.4366343275058,66.0028617514757,69.4293104024004,61.7206199391454,58.8463968347002,52.4426910535497,45.3077091342533,42.2375837496834,40.2717369487303,29.5069999542521,16.0700209005618,7.10584463820231,3.25891604645111,0,3.5475389305155,8.76743793575206,7.14528831606127,12.6056221825961,12.6056221825961,12.6056221825961,12.6056221825961
52,"BRB","Barbados",87.5145395586394,87.5145395586394,87.5145395586394,87.5145395586394,87.5145395586394,87.7486266277974,72.1950296721223,66.1625659796183,50.3336264111287,54.2376018486799,56.8473351079538,60.7952599555943,62.9983593928921,49.9380975396998,37.1919913711442,29.0103807758779,41.4196571964438,45.5608723387843,49.7338598475203,56.8594452677509,69.3192971308399,80.8927538338115,100,100,100,100,100,100
112,"BLR","Belarus",87.1390289911884,87.1390289911884,87.1390289911884,87.1390289911884,87.1390289911884,100,100,100,100,100,100,100,100,100,97.7950809240621,91.0606142036047,100,100,100,100,100,100,100,100,100,100,100,100
56,"BEL","Belgium",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
84,"BLZ","Belize",53.6416868826075,53.6416868826075,53.6416868826075,53.6416868826075,53.6416868826075,47.0957678853377,33.7982351815765,49.3820058954151,59.9503925311362,69.6341883587578,79.3962095559611,100,100,100,100,59.2350614758947,42.74315890861,43.8986212294539,45.1262178564993,49.6943243452056,57.3913579202518,66.0348317729377,88.1827336988497,100,100,100,100,100
204,"BEN","Benin",15.0907458416122,15.0907458416122,15.0907458416122,15.0907458416122,15.0907458416122,14.7054861442106,21.0106493323068,26.4914159465976,36.5080948230668,47.0204315391406,57.6985487073723,48.0282353378562,25.2797185524629,13.637918381942,2.91229502666305,0,4.25380453078556,13.414347776418,23.5750023131268,22.893376942693,22.3332858494108,15.8166047906295,9.31666501963713,8.61489746906848,7.7605270680174,7.7605270680174,7.7605270680174,7.7605270680174
60,"BMU","Bermuda",93.3421452616867,93.3421452616867,93.3421452616867,93.3421452616867,93.3421452616867,90.4930887516302,86.3275034799553,91.822465676258,86.4018591263772,67.8864268167456,76.4879620489979,76.7700749519956,76.7512566714099,88.0837163833797,83.695822725315,75.2543412134507,96.8197130938935,95.1261589045007,93.4806084631422,81.7506747546465,83.7775419589538,83.4132658127609,89.0285057046227,87.2668278892047,91.5596211149606,91.5596211149606,91.5596211149606,91.5596211149606
64,"BTN","Bhutan",49.4434849522754,49.4434849522754,49.4434849522754,49.4434849522754,49.4434849522754,53.7323413208605,58.8124767726893,61.2389297288617,64.8003973662169,68.6711970378877,71.2621559526527,69.9068913859556,64.5910458181887,55.0109319893005,48.3201159719734,47.942936159879,37.107167150578,26.3220376111539,15.7804435377184,14.942270247876,14.0645088006546,18.0685583437566,23.67404782151,22.8237503786346,31.9074304349636,31.9074304349636,31.9074304349636,31.9074304349636
68,"BOL","Bolivia",77.8718585027422,77.8718585027422,77.8718585027422,77.8718585027422,77.8718585027422,72.45632531794,68.6864940653894,67.2339869199887,58.9117615670336,39.2654721390054,15.8325783124455,0,4.13023825372349,8.80619027468164,21.464576352258,21.9217971030805,24.4067645314856,9.6314938270355,17.6807416060579,11.8930353121042,40.9200386366151,39.4716324390669,21.769919619535,4.17994420015945,0,0,0,0
70,"BIH","Bosnia and Herzegovina",0,0,0,0,0,0,0,0,0,0,0,31.8908584931931,39.1257026077935,36.9249461485528,43.4403272612546,46.0101436731391,45.1402103409575,48.7261718602961,52.9797450238022,61.0294125908554,68.3057788604737,67.5069380228617,65.3157811632369,59.5536366530735,49.118366688264,49.118366688264,49.118366688264,49.118366688264
72,"BWA","Botswana",56.2500213312988,56.2500213312988,56.2500213312988,56.2500213312988,56.2500213312988,58.6376181160109,66.7958105974804,66.6224771348124,62.7644947791417,65.1080225601406,58.5809553592362,60.3438176960704,69.1302461020452,68.4463187235196,68.3048790453262,75.5872740491785,100,100,91.1085222330427,86.2526682282153,72.8226400653293,66.0368507769062,60.2366982153965,52.507521109171,46.7663976744755,46.7663976744755,46.7663976744755,46.7663976744755
76,"BRA","Brazil",45.8373964712009,45.8373964712009,45.8373964712009,45.8373964712009,45.8373964712009,49.7539621027283,58.1527923576342,68.4727097382748,73.9368586106671,79.0411597038106,83.56719152472,91.6502290156514,93.7807722250128,100,100,100,98.5507136374348,81.7747548878491,66.7198353958843,52.3944646446859,43.0676929658063,45.9506073610497,50.0434601105638,56.5697193340965,66.8686994228853,66.8686994228853,66.8686994228853,66.8686994228853
92,"VGB","British Virgin Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
96,"BRN","Brunei Darussalam",25.6252881354885,25.6252881354885,25.6252881354885,25.6252881354885,25.6252881354885,33.4961676027141,42.436834245161,53.4071796297781,62.8930459429573,62.8012626630999,63.3714548704762,56.98283751852,47.6896408938768,23.9212472200515,11.1797256781247,16.0121067935544,20.7222007439813,33.0505661890848,48.7517480848717,64.8058457417715,87.9874567466654,97.196859764663,100,82.645261314411,59.3614267712909,59.3614267712909,59.3614267712909,59.3614267712909
100,"BGR","Bulgaria",70.6045504008702,70.6045504008702,70.6045504008702,70.6045504008702,70.6045504008702,77.1867732126618,82.1825090436632,97.8359343112727,100,100,100,100,95.6976483833544,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
854,"BFA","Burkina Faso",44.9410345491793,44.9410345491793,44.9410345491793,44.9410345491793,44.9410345491793,39.4372523578682,34.0992839687205,34.9439225918913,38.6209521833497,38.5016279760763,41.1675878587455,38.9606034796428,34.0452013780589,30.8053438402379,34.1632532217637,35.870703621795,37.3330163217791,43.7527921449048,53.1098663202735,58.9091213273085,63.9263475269953,64.1196024773529,57.9336388821582,55.636283696877,56.0724689967464,56.0724689967464,56.0724689967464,56.0724689967464
108,"BDI","Burundi",73.0193332368034,73.0193332368034,73.0193332368034,73.0193332368034,73.0193332368034,80.0415123082654,84.7564394809315,89.9017845720217,100,100,100,100,93.1807923062956,75.4559480790273,67.8586327760171,60.4134599799151,58.0065053870603,56.9323561252041,61.9012602061233,61.7799243790126,67.859335087538,69.6105448583191,69.9049491904962,69.6300794003525,69.7371522381949,69.7371522381949,69.7371522381949,69.7371522381949
132,"CPV","Cabo Verde",19.5045509442493,19.5045509442493,19.5045509442493,19.5045509442493,19.5045509442493,14.8892874533243,8.1697574935159,2.7966283322001,5.6407786422759,5.78277483903069,7.78833401096331,10.8341473260115,15.2386292879357,28.6069759983381,41.9959952564752,56.4750799067791,55.4065109214645,55.0238492287633,59.6422416613583,57.924445621053,51.4984784504249,47.6959486301104,37.1967298670758,39.0763400480753,42.8594839360809,42.8594839360809,42.8594839360809,42.8594839360809
116,"KHM","Cambodia",0,0,0,0,0,0,0,0,14.1750557018473,39.1366007865076,23.0726072156913,24.4645645360712,23.346247995423,20.851649890888,11.9664825870804,11.9264836583274,12.4909983578318,18.4150097688914,29.1861847935027,39.3835882485192,46.7512379528068,45.1280863629767,43.7379363120993,35.1926355021358,20.5053896678504,20.5053896678504,20.5053896678504,20.5053896678504
120,"CMR","Cameroon",69.1476273782687,69.1476273782687,69.1476273782687,69.1476273782687,69.1476273782687,61.8318748918236,60.2093583750246,58.5302175163391,56.7166384481251,53.3268684360399,50.0079748708565,49.2143215527904,45.3140705090804,43.0963160767847,37.1633177321823,28.9194411459177,27.483582975939,28.300878634538,29.52946695351,29.9350209589095,39.4392060600432,51.4649572188238,60.5795232836975,67.4574938187538,67.9407508182901,67.9407508182901,67.9407508182901,67.9407508182901
124,"CAN","Canada",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
136,"CYM","Cayman Islands",72.5625654091418,72.5625654091418,72.5625654091418,72.5625654091418,72.5625654091418,72.5625654091418,72.5625654091418,72.5625654091418,72.5625654091418,72.5625654091418,72.5625654091418,72.5625654091418,72.5625654091418,72.5625654091418,72.5625654091418,72.5625654091418,72.5625654091418,72.5625654091418,72.5625654091418,72.5625654091418,72.5625654091418,83.3462553800431,100,100,100,100,100,100
140,"CAF","Central African Republic",52.1634867748755,52.1634867748755,52.1634867748755,52.1634867748755,52.1634867748755,52.402073825388,54.1071016448472,59.6967287130256,67.8493425450604,71.7494219991899,74.1318216998889,78.1086965084835,84.2521474506139,81.521518953694,78.9419636708049,71.7126690560717,66.7951028205903,64.5539682472503,65.7018967433872,65.5019973644881,64.0754745787893,62.9407531569588,61.1760517651877,60.7328142854152,62.1286599976152,62.1286599976152,62.1286599976152,62.1286599976152
148,"TCD","Chad",53.5498183801022,53.5498183801022,53.5498183801022,53.5498183801022,53.5498183801022,42.9219117191345,41.9628435870923,44.2740347538951,35.8445626123628,24.8979235953876,14.8671501553623,9.03785996574429,7.18149363697788,7.67577571624581,15.1695088372934,22.0428120264915,34.0616585553171,51.7524790866844,58.8529443529304,63.2624894812149,68.424501015505,72.5074287725349,73.0449933519218,70.4478611333456,69.0450324379854,69.0450324379854,69.0450324379854,69.0450324379854
152,"CHL","Chile",81.1853953565958,81.1853953565958,81.1853953565958,81.1853953565958,81.1853953565958,84.0057204942424,93.8017162270286,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
156,"CHN","China",55.3653837130053,55.3653837130053,55.3653837130053,55.3653837130053,55.3653837130053,59.7187005834679,63.1731365396793,64.604101391345,59.3486795972721,48.3814600937583,32.4451646894118,20.0315334062478,13.6759656461284,15.6688957688975,27.0302407704547,43.7235345670992,59.5330829756147,76.9736742347202,100,100,100,100,100,100,100,100,100,100
170,"COL","Colombia",70.5892152235069,70.5892152235069,70.5892152235069,70.5892152235069,70.5892152235069,78.7035476829855,87.9428858386854,94.9639880010279,100,100,100,100,100,94.0213742827458,86.6738019829761,73.6407240494175,68.6719063034577,65.5843824103055,49.734460739994,46.3590450180175,47.1126676637727,38.572487077202,45.5724462923423,58.3051684999044,55.8650764109415,55.8650764109415,55.8650764109415,55.8650764109415
174,"COM","Comoros",68.9772630451955,68.9772630451955,68.9772630451955,68.9772630451955,68.9772630451955,64.6724766122249,57.8390772547604,54.9886297598035,52.4648554263622,45.5614809538552,36.4119859742267,36.0008215194183,42.9809007444367,45.3089841779975,49.8064054401202,52.5614578117958,51.3589986398177,54.4267695863138,59.8422533849979,60.1157238276602,57.3173831693026,54.518702919628,53.5632121656393,53.2611414941541,55.8347451383195,55.8347451383195,55.8347451383195,55.8347451383195
184,"COK","Cook Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
188,"CRI","Costa Rica",57.3053578377366,57.3053578377366,57.3053578377366,57.3053578377366,57.3053578377366,65.5471291047371,74.0921786965125,82.8286259146254,89.0449610732973,85.7923696169452,74.0320574405507,66.7407597829079,57.9539429214845,54.1521536855143,55.6674676030374,57.2047766755108,50.9476248101145,49.9274866258988,45.5682116565603,60.5389720930106,100,100,100,100,100,100,100,100
384,"CIV","Cote d'Ivoire",32.5090469889395,32.5090469889395,32.5090469889395,32.5090469889395,32.5090469889395,32.6885492871983,35.1047846117684,44.2413093387355,68.3052468920071,72.0378136185171,76.7083206187252,88.1278554213374,100,100,100,100,100,64.9127554415629,65.0587529299639,42.583312398658,25.5741514915048,35.2626684924173,48.988168581861,57.8972837800124,68.9818030772981,68.9818030772981,68.9818030772981,68.9818030772981
191,"HRV","Croatia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,84.9342212252429,100,100,100,100,100,94.0677786670694,100,100,100,100,100,100,100
192,"CUB","Cuba",59.2982013142007,59.2982013142007,59.2982013142007,59.2982013142007,59.2982013142007,42.6844304358916,36.8088351760476,41.9071725778561,52.3854301425063,65.6463969000871,74.3626583715772,84.9955810783158,86.1075853794892,90.8693523090674,89.5905000611383,74.2993385587479,70.7858862675258,66.6517745146675,68.7924794334126,74.9725459311073,80.1160087124459,80.2022157961191,84.0894192820312,92.1422672161302,98.5941717991292,98.5941717991292,98.5941717991292,98.5941717991292
