"code","iso","country","SHI.ind.1995","SHI.ind.1996","SHI.ind.1997","SHI.ind.1998","SHI.ind.1999","SHI.ind.2000","SHI.ind.2001","SHI.ind.2002","SHI.ind.2003","SHI.ind.2004","SHI.ind.2005","SHI.ind.2006","SHI.ind.2007","SHI.ind.2008","SHI.ind.2009","SHI.ind.2010","SHI.ind.2011","SHI.ind.2012","SHI.ind.2013","SHI.ind.2014","SHI.ind.2015","SHI.ind.2016","SHI.ind.2017","SHI.ind.2018","SHI.ind.2019","SHI.ind.2020","SHI.ind.2021","SHI.ind.2022"
4,"AFG","Afghanistan",100,100,100,100,100,100,100,98.51411589896,97.0282317979197,95.5423476968797,94.7994056463597,94.3536404160476,93.1649331352155,92.2734026745915,91.8276374442794,91.5304606240714,90.7875185735512,90.6389301634473,90.6389301634473,90.7875185735512,90.7875185735512,90.7875185735512,90.7875185735512,90.7875185735512,90.7875185735512,90.7875185735512,90.7875185735512,90.7875185735512
8,"ALB","Albania",100,100,100,100,100,100,100,99.25705794948,97.6225854383358,94.3536404160476,93.7592867756315,91.5304606240714,91.0846953937594,84.9925705794947,83.3580980683506,83.0609212481426,83.0609212481426,82.6151560178306,82.3179791976226,82.1693907875185,82.1693907875185,82.1693907875185,82.1693907875185,82.1693907875185,82.1693907875185,82.1693907875185,82.1693907875185,82.1693907875185
12,"DZA","Algeria",100,100,100,100,100,100,100,99.8514115898959,98.6627043090638,92.5705794947994,91.5304606240714,90.3417533432391,89.8959881129271,87.5185735512629,83.9524517087667,82.6151560178306,82.1693907875185,81.2778603268944,81.1292719167906,80.8320950965824,80.8320950965824,80.8320950965824,80.8320950965824,80.8320950965824,80.8320950965824,80.8320950965824,80.8320950965824,80.8320950965824
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",100,100,100,100,100,100,100,99.1084695393759,98.3655274888559,97.1768202080238,96.7310549777118,96.1367013372956,95.2451708766717,94.6508172362556,93.1649331352155,92.2734026745915,91.3818722139673,90.1931649331353,89.1530460624071,88.4101040118871,88.4101040118871,88.4101040118871,88.4101040118871,88.4101040118871,88.4101040118871,88.4101040118871,88.4101040118871,88.4101040118871
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
32,"ARG","Argentina",100,100,100,100,100,100,100,98.51411589896,95.9881129271917,93.1649331352155,90.9361069836553,88.8558692421991,86.924219910847,83.5066864784547,81.4264487369985,78.4546805349183,75.6315007429421,72.8083209509659,70.7280832095097,69.5393759286776,69.5393759286776,69.5393759286776,69.5393759286776,69.5393759286776,69.5393759286776,69.5393759286776,69.5393759286776,69.5393759286776
51,"ARM","Armenia",100,100,100,100,100,100,100,99.25705794948,98.8112927191679,98.51411589896,98.0683506686479,98.0683506686479,97.4739970282318,97.1768202080238,96.5824665676077,96.4338781575038,95.9881129271917,94.6508172362556,93.9078751857356,92.4219910846953,92.4219910846953,92.4219910846953,92.4219910846953,92.4219910846953,92.4219910846953,92.4219910846953,92.4219910846953,92.4219910846953
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
