"code","iso","country","SPU.ind.1995","SPU.ind.1996","SPU.ind.1997","SPU.ind.1998","SPU.ind.1999","SPU.ind.2000","SPU.ind.2001","SPU.ind.2002","SPU.ind.2003","SPU.ind.2004","SPU.ind.2005","SPU.ind.2006","SPU.ind.2007","SPU.ind.2008","SPU.ind.2009","SPU.ind.2010","SPU.ind.2011","SPU.ind.2012","SPU.ind.2013","SPU.ind.2014","SPU.ind.2015","SPU.ind.2016","SPU.ind.2017","SPU.ind.2018","SPU.ind.2019","SPU.ind.2020","SPU.ind.2021","SPU.ind.2022"
4,"AFG","Afghanistan",37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333,37.3333333333333
8,"ALB","Albania",20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222,20.2222222222222
12,"DZA","Algeria",81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778,81.7777777777778
20,"AND","Andorra",71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333,71.3333333333333
24,"AGO","Angola",20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444,20.4444444444444
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
32,"ARG","Argentina",69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778,69.7777777777778
51,"ARM","Armenia",33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
36,"AUS","Australia",86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667,86.6666666666667
40,"AUT","Austria",73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111,73.1111111111111
31,"AZE","Azerbaijan",38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444,38.4444444444444
44,"BHS","Bahamas",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
48,"BHR","Bahrain",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
50,"BGD","Bangladesh",32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889
52,"BRB","Barbados",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
112,"BLR","Belarus",26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889,26.8888888888889
56,"BEL","Belgium",18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889,18.8888888888889
84,"BLZ","Belize",23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111,23.1111111111111
204,"BEN","Benin",27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778,27.7777777777778
60,"BMU","Bermuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
64,"BTN","Bhutan",24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444,24.4444444444444
68,"BOL","Bolivia",63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333,63.3333333333333
70,"BIH","Bosnia and Herzegovina",17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556,17.5555555555556
72,"BWA","Botswana",16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667
76,"BRA","Brazil",48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
92,"VGB","British Virgin Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
96,"BRN","Brunei Darussalam",29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556,29.5555555555556
100,"BGR","Bulgaria",48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
854,"BFA","Burkina Faso",41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556,41.5555555555556
108,"BDI","Burundi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,"CPV","Cabo Verde",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
116,"KHM","Cambodia",32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889,32.8888888888889
120,"CMR","Cameroon",48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
124,"CAN","Canada",16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889,16.8888888888889
136,"CYM","Cayman Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
140,"CAF","Central African Republic",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
148,"TCD","Chad",18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
152,"CHL","Chile",54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667,54.6666666666667
