"code","iso","country","WTL.ind.1995","WTL.ind.1996","WTL.ind.1997","WTL.ind.1998","WTL.ind.1999","WTL.ind.2000","WTL.ind.2001","WTL.ind.2002","WTL.ind.2003","WTL.ind.2004","WTL.ind.2005","WTL.ind.2006","WTL.ind.2007","WTL.ind.2008","WTL.ind.2009","WTL.ind.2010","WTL.ind.2011","WTL.ind.2012","WTL.ind.2013","WTL.ind.2014","WTL.ind.2015","WTL.ind.2016","WTL.ind.2017","WTL.ind.2018","WTL.ind.2019","WTL.ind.2020","WTL.ind.2021","WTL.ind.2022"
4,"AFG","Afghanistan",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
8,"ALB","Albania",100,100,100,100,47.9694949792786,35.5075121183574,35.5075121183574,35.5075121183574,28.6869378164089,27.3219316899391,30.9891206038126,27.3266619727721,27.3266619727721,30.9776173016305,34.1101985050509,34.1101985050509,43.6712745505936,43.6712745505936,43.7664479853985,47.7701838582298,47.7701838582298,47.7701838582298,34.0377536311154,32.8474783197588,31.7826818702138,31.7826752375518,31.7826752375518,31.7826752375518
12,"DZA","Algeria",30.2817179599019,30.2817179599019,30.2817179599019,30.2817179599019,28.0936349879712,33.085370325611,37.0529302294609,43.8303737529785,43.8303737529785,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
20,"AND","Andorra",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
24,"AGO","Angola",41.6943886028769,41.6943886028769,41.6943886028769,37.1002947701719,32.3849264557383,33.5415555583294,35.5220277896791,36.8881555803889,41.2160605913489,68.8539986533314,81.254859833594,81.254859833594,81.254859833594,100,100,100,57.212159352257,57.212159352257,57.212159352257,57.212159352257,57.212159352257,100,100,100,100,100,100,100
660,"AIA","Anguilla",100,100,100,100,100,100,100,100,27.1722025817283,27.1722025817283,27.1722025817283,27.1722025817283,27.1722025817283,100,100,100,100,100,100,100,100,100,100,100,100,99.9469961697629,99.9469961697629,99.9469961697629
28,"ATG","Antigua and Barbuda",44.7602269429157,44.7602269429157,44.7602269429157,44.7596429385667,44.7596429385667,15.9598273952485,15.9598273952485,14.9763980029464,15.4555412169208,10.841014962923,18.9261196187998,18.9261196187998,20.4369188513397,17.6261054708109,13.2726291999891,13.2726291999891,13.2726291999891,13.2726291999891,14.9803241500854,100,100,100,100,100,100,100,100,100
32,"ARG","Argentina",50.973049071822,50.973049071822,50.973049071822,51.0324537774957,51.0679205555815,60.4801172124679,100,100,100,100,100,100,100,100,100,37.4272640756651,37.4272640756651,37.4272640756651,35.4691533446185,31.7309760408947,39.7211700263849,39.7211700263849,37.6230287458275,40.1289057809001,44.9344573620183,44.9639611129369,44.9639611129369,44.9639611129369
51,"ARM","Armenia",100,100,100,100,21.5684209572235,21.5684209572235,21.5684209572235,8.65978417596928,6.63786722928587,9.04637017965588,7.93952464224354,7.93952464224354,18.0818334497974,27.0436437858681,23.0707289778593,29.8660460417264,29.8660460417264,33.8278593785762,33.8278593785762,100,100,100,100,100,100,99.9745648392676,99.9745648392676,99.9745648392676
533,"ABW","Aruba",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,12.7342248088764,12.7342248088764,12.7342248088764,12.7342248088764,5.94177253393441,12.7343294613386,12.7343294613386,12.7343294613386,12.7343294613386,100,100,100
