"code","iso","country","WWT.ind.1995","WWT.ind.1996","WWT.ind.1997","WWT.ind.1998","WWT.ind.1999","WWT.ind.2000","WWT.ind.2001","WWT.ind.2002","WWT.ind.2003","WWT.ind.2004","WWT.ind.2005","WWT.ind.2006","WWT.ind.2007","WWT.ind.2008","WWT.ind.2009","WWT.ind.2010","WWT.ind.2011","WWT.ind.2012","WWT.ind.2013","WWT.ind.2014","WWT.ind.2015","WWT.ind.2016","WWT.ind.2017","WWT.ind.2018","WWT.ind.2019","WWT.ind.2020","WWT.ind.2021","WWT.ind.2022"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"ALB","Albania",1.853,1.853,1.853,1.853,1.853,1.853,1.853,1.853,1.853,1.853,1.853,1.853,1.853,1.853,1.853,1.853,1.853,1.853,1.853,1.853,1.853,1.853,1.853,1.853,1.853,1.853,1.853,1.853
12,"DZA","Algeria",33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12
20,"AND","Andorra",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
24,"AGO","Angola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728,15.7114912038728
32,"ARG","Argentina",5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236,5.9236
51,"ARM","Armenia",4.4811,4.4811,4.4811,4.4811,4.4811,4.4811,4.4811,4.4811,4.4811,4.4811,4.4811,4.4811,4.4811,4.4811,4.4811,4.4811,4.4811,4.4811,4.4811,4.4811,4.4811,4.4811,4.4811,4.4811,4.4811,4.4811,4.4811,4.4811
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
